CommitteeReferralComments,DeemedOn,CouncilPeriod,LegislationNumber,Subcategory,DocumentUrl,Modified,LegislationStatus,ShortTitle,Category,Id,LawNumber,CommitteeReferral,ActNumber,Deemed,IntroductionDate
,,22,B22-0185,Permanent Bill,http://lims.dccouncil.us/Download/37659/B22-0185-Introduction.pdf,2017-03-20,Under Council Review,Consumer Protection Clarification and Enhancement Act of 2017,Bill,37659,,Committee of the Whole,,,2017-03-09
,,22,B22-0184,Permanent Bill,http://lims.dccouncil.us/Download/37644/B22-0184-Introduction.pdf,2017-03-20,Under Council Review,Electric Company Infrastructure Improvement Financing Amendment Act of 2017,Bill,37644,,Committee on Business and Economic Development,,,2017-03-06
,,22,B22-0183,Permanent Bill,http://lims.dccouncil.us/Download/37643/B22-0183-Introduction.pdf,2017-03-20,Under Council Review,Affordable Emergency Transportation and Pre-Hospital Medical Services Amendment Act of 2017,Bill,37643,,Committee on Judiciary and Public Safety,,,2017-03-06
,,22,PR22-0164,Proposed Resolution,http://lims.dccouncil.us/Download/37584/PR22-0164-Introduction.pdf,2017-03-20,Approved,Interior Design Regulation Emergency Declaration Resolution of 2017,Resolution,37584,,Retained by the Council,R22-0043,,2017-03-07
,,22,PR22-0094,Emergency Declaration Resolution,http://lims.dccouncil.us/Download/37337/PR22-0094-Introduction.pdf,2017-03-20,Approved,"Modifications to Contract No. CW40572 with Centric Group, LLC dba Keefe Supply Company Approval and Payment Authorization Emergency Declaration Resolution of 2017",Resolution,37337,,Retained by the Council,R22-0040,,2017-02-02
,,22,PR22-0139,Emergency Declaration Resolution,http://lims.dccouncil.us/Download/37499/PR22-0139-Introduction.pdf,2017-03-20,Approved,Modifications to Contract No. DCJM-2014-H-0006-10 with RCM of Washington Inc. Approval and Payment Authorization Emergency Declaration Resolution of 2017,Resolution,37499,,Retained by the Council,R22-0039,,2017-02-23
,,22,PR22-0154,Emergency Declaration Resolution,http://lims.dccouncil.us/Download/37532/PR22-0154-Introduction.pdf,2017-03-20,Approved,"Modifications to Contract No. CW36461 with SB & Company, LLC Approval and Payment Authorization Emergency Declaration Resolution of 2017",Resolution,37532,,Retained by the Council,R22-0038,,2017-03-01
,,22,PR22-0095,Proposed Resolution,http://lims.dccouncil.us/Download/37339/PR22-0095-Introduction.pdf,2017-03-20,Approved,Chief Financial Officer of the District of Columbia Jeffrey S. DeWitt Confirmation Resolution of 2017,Resolution,37339,,Committee on Finance and Revenue,R22-0035,,2017-02-02
,,22,PR22-0160,Congressional Review Emer. Decl. Resolution,http://lims.dccouncil.us/Download/37572/PR22-0160-Introduction.pdf,2017-03-20,Approved,Campaign Finance Reform and Transparency Congressional Review Emergency Declaration Resolution of 2017,Resolution,37572,,Retained by the Council,R22-0032,,2017-03-06
,,22,PR22-0162,Congressional Review Emer. Decl. Resolution,http://lims.dccouncil.us/Download/37576/PR22-0162-Introduction.pdf,2017-03-20,Approved,Stun Gun Regulation Congressional Review Emergency Declaration Resolution of 2017,Resolution,37576,,Retained by the Council,R22-0031,,2017-03-06
,,22,PR22-0161,Congressional Review Emer. Decl. Resolution,http://lims.dccouncil.us/Download/37574/PR22-0161-Introduction.pdf,2017-03-20,Approved,Tampering with a Detection Device Congressional Review Emergency Declaration Resolution of 2017 ,Resolution,37574,,Retained by the Council,R22-0030,,2017-03-06
,,22,PR22-0147,Congressional Review Emer. Decl. Resolution,http://lims.dccouncil.us/Download/37517/PR22-0147-Introduction.pdf,2017-03-20,Approved,Wage Theft Prevention Clarification and Overtime Fairness Congressional Review Emergency Declaration Resolution of 2017,Resolution,37517,,Retained by the Council,R22-0028,,2017-03-01
,2017-04-22,22,CA22-0040,Contract,http://lims.dccouncil.us/Download/37610/CA22-0040-Introduction.pdf,2017-03-20,Under Council Review,Proposed Multi-Year contract with Vermont Energy Investment Corporation,Contract,37610,,Retained by the Council,,Disapproved,2017-03-08
,,22,RC22-0035,Other,http://lims.dccouncil.us/Download/37687/RC22-0035-Introduction.pdf,2017-03-20,Under Council Review,Correspondence from the Mayor - Chancellor Henderson's SY 2015-2016 Performance Bonus Report,Report,37687,,,,,2017-03-17
,,22,B22-0111,Permanent Bill,http://lims.dccouncil.us/Download/37364/B22-0111-Introduction.pdf,2017-03-20,Under Council Review,Safe Way Home Act of 2017,Bill,37364,,"Committee on Labor and Workforce Development, Committee on Human Services, and Committee on Judiciary and Public Safety",,,2017-02-07
,,22,B22-0054,Permanent Bill,http://lims.dccouncil.us/Download/37242/B22-0054-Introduction.pdf,2017-03-20,Under Council Review,Marion S. Barry Summer Youth Employment Expansion Amendment Act of 2017,Bill,37242,,Committee on Labor and Workforce Development,,,2017-01-11
,2017-05-04,22,PR22-0071,Proposed Resolution,http://lims.dccouncil.us/Download/37251/PR22-0071-Introduction.pdf,2017-03-17,Under Council Review,Child and Family Services Agency Brenda Donald Confirmation Resolution of 2017,Resolution,37251,,Committee on Human Services,,Approved,2017-01-18
,,22,B22-0003,Permanent Bill,http://lims.dccouncil.us/Download/37130/B22-0003-Introduction.pdf,2017-03-17,Under Council Review,Williams Alley Designation Act of 2017,Bill,37130,,Committee of the Whole,,,2017-01-03
,,22,HR22-0013,Oversight Hearing Record,,2017-03-17,Under Council Review,Performance Oversight Hearing: Washington Convention and Sports Authority (Events DC) and Destination DC,Oversight Hearing Record,37686,,Committee on Finance and Revenue,,,2017-02-22
,,22,HR22-0012,Oversight Hearing Record,,2017-03-17,Under Council Review,Performance Oversight Hearing: Washington Metropolitan Area Transit Authority (WMATA),Oversight Hearing Record,37685,,Committee on Finance and Revenue,,,2017-02-16
,,22,HR22-0011,Oversight Hearing Record,,2017-03-17,Under Council Review,"Performance Oversight Hearing: ""Real Property Tax Appeals Commission, District of Columbia Lottery and Charitable Games, Office of the Chief Financial Officer, Office of Tax and Revenue, Office of Finance and Treasury, Office of Financial Operations, and Revenue Analysis""",Oversight Hearing Record,37684,,Committee on Finance and Revenue,,,2017-02-27
,,22,HR22-0010,Oversight Hearing Record,,2017-03-17,Under Council Review,Performance Oversight Hearing: the Commission on Arts and Humanities,Oversight Hearing Record,37683,,Committee on Finance and Revenue,,,2017-02-17
,,22,PR22-0186,Emergency Declaration Resolution,http://lims.dccouncil.us/Download/37678/PR22-0186-Introduction.pdf,2017-03-17,Under Council Review,Modifications to Human Care Agreement No. DCRL-2013-H-0039E with Lutheran Social Services of the National Capital Area Approval and Payment Authorization Emergency Declaration Resolution of 2017,Resolution,37678,,Retained by the Council,,,2017-03-15
,,22,B22-0186,Emergency Bill,http://lims.dccouncil.us/Download/37679/B22-0186-Introduction.pdf,2017-03-17,Under Council Review,Modifications to Human Care Agreement No. DCRL-2013-H-0039E with Lutheran Social Services of the National Capital Area Approval and Payment Authorization Emergency Act of 2017,Bill,37679,,Retained by the Council,,,2017-03-15
,,22,PR22-0187,Emergency Declaration Resolution,http://lims.dccouncil.us/Download/37680/PR22-0187-Introduction.pdf,2017-03-17,Under Council Review,Change Order Nos. 5 and 6 to Contract No. DCAM-15-CS-0112 Approval and Payment Authorization Emergency Declaration Resolution of 2017,Resolution,37680,,Retained by the Council,,,2017-03-15
,,22,B22-0187,Emergency Bill,http://lims.dccouncil.us/Download/37681/B22-0187-Introduction.pdf,2017-03-17,Under Council Review,Change Order Nos. 5 and 6 to Contract No. DCAM-15-CS-0112 Approval and Payment Authorization Emergency Act of 2017,Bill,37681,,Retained by the Council,,,2017-03-15
,2017-03-12,22,PR22-0057,Proposed Resolution,http://lims.dccouncil.us/Download/37153/PR22-0057-Introduction.pdf,2017-03-17,Deemed Approved,Interagency Council on Homelessness Katherine Coventry Confirmation Resolution of 2017,Resolution,37153,,Committee on Human Services,,Approved,2017-01-04
,,22,B22-0150,Permanent Bill,http://lims.dccouncil.us/Download/37558/B22-0150-Introduction.pdf,2017-03-16,Under Council Review,St. Mary's Way Designation Act of 2017,Bill,37558,,Committee of the Whole,,,2017-03-03
,,22,B22-0178,Permanent Bill,http://lims.dccouncil.us/Download/37601/B22-0178-Introduction.pdf,2017-03-16,Under Council Review,Commission on Poverty in the District of Columbia Establishment Act of 2017,Bill,37601,,Committee on Labor and Workforce Development,,,2017-03-07
,,22,B22-0171,Permanent Bill,http://lims.dccouncil.us/Download/37594/B22-0171-Introduction.pdf,2017-03-16,Under Council Review,Senior Dental Services Program Act of 2017,Bill,37594,,Committee on Health,,,2017-03-07
,,22,B22-0168,Permanent Bill,http://lims.dccouncil.us/Download/37591/B22-0168-Introduction.pdf,2017-03-16,Under Council Review,Public Housing Credit Building Pilot Program Act of 2017,Bill,37591,,Committee on Housing and Neighborhood Revitalization ,,,2017-03-07
,,22,RC22-0034,Other,http://lims.dccouncil.us/Download/37667/RC22-0034-Introduction.pdf,2017-03-16,Under Council Review,Correspondence from the Uniform Law Commission - Annual Report 2016,Report,37667,,,,,2017-03-16
,2017-03-26,22,CA22-0042,Contract,http://lims.dccouncil.us/Download/37661/CA22-0042-Introduction.pdf,2017-03-16,Deemed Approved,"Proposed contract with American Traffic Solutions, Inc. ",Contract,37661,,Retained by the Council,,Approved,2017-03-15
,2017-03-26,22,CA22-0043,Contract,http://lims.dccouncil.us/Download/37662/CA22-0043-Introduction.pdf,2017-03-16,Deemed Approved,"Proposed Sole Source contract with PFC Associates, LLC ",Contract,37662,,Retained by the Council,,Approved,2017-03-15
,,22,CFO22-0004,Chief Financial Officer,http://lims.dccouncil.us/Download/37663/CFO22-0004-Introduction.pdf,2017-03-16,Under Council Review,Office of Finance and Treasury Central Collection Unit 2017 Annual Report,Report,37663,,,,,2017-03-16
,,22,RC22-0031,Other,http://lims.dccouncil.us/Download/37664/RC22-0031-Introduction.pdf,2017-03-16,Under Council Review,Correspondence from the DC CCRC - 2016 Annual Report & Report on First Quarter Fiscal Year 2017,Report,37664,,,,,2017-03-16
,,22,RC22-0032,Other,http://lims.dccouncil.us/Download/37665/RC22-0032-Introduction.pdf,2017-03-16,Under Council Review,"Correspondence from the OPC-DC - Report for FY 2016 on Agency Fund Deposits, Disbursements and Contracts",Report,37665,,,,,2017-03-16
,,22,RC22-0033,Other,http://lims.dccouncil.us/Download/37666/RC22-0033-Introduction.pdf,2017-03-16,Under Council Review,"Correspondence from the PSC - Report for Fiscal Year 2016 on Agency Fund Deposits, Disbursements and Contracts",Report,37666,,,,,2017-03-16
,,22,PR22-0030,Proposed Resolution,http://lims.dccouncil.us/Download/37113/PR22-0030-Introduction.pdf,2017-03-16,Approved,Board of Zoning Adjustment Ms. Lesylleé White Confirmation Resolution of 2016,Resolution,37113,,Committee of the Whole,R22-0016,,2017-01-02
,2017-04-10,22,PR22-0056,Proposed Resolution,http://lims.dccouncil.us/Download/37152/PR22-0056-Introduction.pdf,2017-03-16,Approved,Metropolitan Washington Airports Authority Board of Directors Warner H. Session Confirmation Resolution of 2017,Resolution,37152,,Committee of the Whole,R22-0017,Disapproved,2017-01-04
,2017-03-08,22,REPROG22-0020,Reprogramming,http://lims.dccouncil.us/Download/37479/REPROG22-0020-Introduction.pdf,2017-03-16,Deemed Approved,"Request to reprogram $272,307 of Special Purpose Revenue Funds Budget Authority from the District Department of Transportation to the Pay-As-You-Go Capital Fund ",Reprogramming,37479,,Retained by the Council,,Approved,2017-02-21
,2017-03-08,22,REPROG22-0019,Reprogramming,http://lims.dccouncil.us/Download/37478/REPROG22-0019-Introduction.pdf,2017-03-16,Deemed Approved,"Request to reprogram $1,224,491 of Capital Funds Budget Authority and Allotment within the District Department of Transportation ",Reprogramming,37478,,Retained by the Council,,Approved,2017-02-21
,2017-03-08,22,REPROG22-0018,Reprogramming,http://lims.dccouncil.us/Download/37477/REPROG22-0018-Introduction.pdf,2017-03-16,Deemed Approved,"Request to reprogram $78,189 of Capital Funds Budget Authority and Allotment from the Department of General Services to the Local Funds Budget of the of the Department of General Services through Reverse Pay-As-You-Go Capital Funds ",Reprogramming,37477,,Retained by the Council,,Approved,2017-02-21
,2017-03-08,22,REPROG22-0017,Reprogramming,http://lims.dccouncil.us/Download/37476/REPROG22-0017-Introduction.pdf,2017-03-16,Deemed Approved,"Request to reprogram $500,000 of Capital Funds Budget Authority and Allotment from the Department of General Services to the Local Funds Budget of the of the Department of General Services through Reverse Pay-As-You-Go Capital Funds ",Reprogramming,37476,,Retained by the Council,,Approved,2017-02-21
,2017-03-08,22,REPROG22-0016,Reprogramming,http://lims.dccouncil.us/Download/37475/REPROG22-0016-Introduction.pdf,2017-03-16,Deemed Approved,"Request to reprogram $560,275 of Capital Funds Budget Authority and Allotment from the Department of General Services to the Local Funds Budget of the of the Department of General Services through Reverse Pay-As-You-Go Capital Funds ",Reprogramming,37475,,Retained by the Council,,Approved,2017-02-21
,2017-03-08,22,REPROG22-0015,Reprogramming,http://lims.dccouncil.us/Download/37474/REPROG22-0015-Introduction.pdf,2017-03-16,Deemed Approved,"Request to reprogram $93,239 of Capital Funds Budget Authority and Allotment from the District of Columbia Public Schools to the Local Funds Budget of the District of Columbia Public Schools through Reverse Pay-As-You-Go Capital Funds ",Reprogramming,37474,,Retained by the Council,,Approved,2017-02-21
,2017-03-07,22,REPROG22-0014,Reprogramming,http://lims.dccouncil.us/Download/37461/REPROG22-0014-Introduction.pdf,2017-03-16,Deemed Approved,"Request to reprogram $770,000 of Local Funds Budget Authority within the Department of Motor Vehicles ",Reprogramming,37461,,Retained by the Council,,Approved,2017-02-17
,2017-03-07,22,REPROG22-0013,Reprogramming,http://lims.dccouncil.us/Download/37460/REPROG22-0013-Introduction.pdf,2017-03-16,Deemed Approved,"Request to reprogram $1,497,000 of Local Funds Budget Authority within the Department of Corrections ",Reprogramming,37460,,Retained by the Council,,Approved,2017-02-17
,2017-03-09,22,GBM22-0018,Grant Budget Modification,http://lims.dccouncil.us/Download/37488/GBM22-0018-Introduction.pdf,2017-03-16,Deemed Approved,"FY 2017 Grant Budget Modifications of February 15, 2017",Grant Budget Modification,37488,,Retained by the Council,,Approved,2017-02-22
,2017-03-09,22,GBM22-0017,Grant Budget Modification,http://lims.dccouncil.us/Download/37487/GBM22-0017-Introduction.pdf,2017-03-16,Deemed Approved,"FY 2017 Grant Budget Modifications of February 9, 2017",Grant Budget Modification,37487,,Retained by the Council,,Approved,2017-02-22
,2017-03-07,22,GBM22-0016,Grant Budget Modification,http://lims.dccouncil.us/Download/37459/GBM22-0016-Introduction.pdf,2017-03-16,Deemed Approved,"FY 2017 Grant Budget Modifications of February 7, 2017",Grant Budget Modification,37459,,Retained by the Council,,Approved,2017-02-17
,2017-02-27,22,CA22-0032,Contract,http://lims.dccouncil.us/Download/37456/CA22-0032-Introduction.pdf,2017-03-16,Deemed Approved,"Proposed contract modification for a Sole Source extension with Maximus Human Services, Inc. ",Contract,37456,,Retained by the Council,,Approved,2017-02-16
,2017-02-27,22,CA22-0031,Contract,http://lims.dccouncil.us/Download/37455/CA22-0031-Introduction.pdf,2017-03-16,Deemed Approved,Proposed contract with PSI Services LLC ,Contract,37455,,Retained by the Council,,Approved,2017-02-16
,2017-02-27,22,CA22-0030,Contract,http://lims.dccouncil.us/Download/37454/CA22-0030-Introduction.pdf,2017-03-16,Deemed Approved,"Proposed contract modification for a Sole Source Extension with Career Team, LLC ",Contract,37454,,Retained by the Council,,Approved,2017-02-16
,2017-02-27,22,CA22-0029,Contract,http://lims.dccouncil.us/Download/37453/CA22-0029-Introduction.pdf,2017-03-16,Deemed Approved,Proposed contract to exercise option year three (3) with Science Application International Corporation (SAIC),Contract,37453,,Retained by the Council,,Approved,2017-02-16
,2017-02-27,22,CA22-0028,Contract,http://lims.dccouncil.us/Download/37431/CA22-0028-Introduction.pdf,2017-03-16,Deemed Approved,"Proposed contract with MDB Communications, Inc. ",Contract,37431,,Retained by the Council,,Approved,2017-02-16
,2017-02-26,22,CA22-0027,Contract,http://lims.dccouncil.us/Download/37429/CA22-0027-Introduction.pdf,2017-03-16,Deemed Approved,"Proposed Agreement of Purchase and Sale between the District of Columbia and King Office, LLC",Contract,37429,,Retained by the Council,,Approved,2017-02-15
,2017-02-26,22,CA22-0026,Contract,http://lims.dccouncil.us/Download/37428/CA22-0026-Introduction.pdf,2017-03-16,Deemed Approved,"Proposed contract to exercise option year (4) with The Triage Group, LLC ",Contract,37428,,Retained by the Council,,Approved,2017-02-15
,2017-02-24,22,CA22-0025,Contract,http://lims.dccouncil.us/Download/37418/CA22-0025-Introduction.pdf,2017-03-16,Deemed Approved,"Proposed contract with BDO USA, LLP in the amount of $1,397,949.80 to exercise Option Year One (1)",Contract,37418,,Retained by the Council,,Approved,2017-02-13
,,22,B22-0140,Emergency Bill,http://lims.dccouncil.us/Download/37526/B22-0140-Introduction.pdf,2017-03-15,Under Mayoral Review,Williams Alley Designation Emergency Act of 2017,Bill,37526,,Retained by the Council,,,2017-03-02
,,22,B22-0164,Temporary Bill,http://lims.dccouncil.us/Download/37586/B22-0164-Introduction.pdf,2017-03-15,Under Council Review,Interior Design Regulation Temporary Amendment Act of 2017,Bill,37586,,Retained by the Council,,,2017-03-07
,,22,B22-0152,Temporary Bill,http://lims.dccouncil.us/Download/37561/B22-0152-Introduction.pdf,2017-03-15,Under Council Review,Business License Technology Fee Reauthorization Temporary Amendment Act of 2017,Bill,37561,,Retained by the Council,,,2017-03-03
,,22,B22-0142,Temporary Bill,http://lims.dccouncil.us/Download/37530/B22-0142-Introduction.pdf,2017-03-15,Under Council Review,Land Disposition Transparency Temporary Amendment Act of 2017,Bill,37530,,Retained by the Council,,,2017-03-01
,,22,AU22-0007,Auditor,http://lims.dccouncil.us/Download/37656/AU22-0007-Introduction.pdf,2017-03-15,Under Council Review,UDC's Vision 2020 Plan: How Much progress Has Been Made?,Report,37656,,,,,2017-03-13
,,22,B22-0151,Temporary Bill,http://lims.dccouncil.us/Download/37560/B22-0151-Introduction.pdf,2017-03-15,Under Mayoral Review,Business License Technology Fee Reauthorization Emergency Amendment Act of 2017,Bill,37560,,Retained by the Council,,,2017-03-03
,,22,B22-0149,Emergency Bill,http://lims.dccouncil.us/Download/37543/B22-0149-Introduction.pdf,2017-03-15,Under Mayoral Review,Council Independent Authority Clarification Congressional Review Emergency Amendment Act of 2017,Bill,37543,,Retained by the Council,,,2017-03-02
,,22,RC22-0030,Other,http://lims.dccouncil.us/Download/37660/RC22-0030-Introduction.pdf,2017-03-15,Under Council Review,"Correspondence from the Mayor - CFSA Grandparent Caregivers Program: Annual Status Report, CY2016",Report,37660,,,,,2017-03-15
,,22,B22-0132,Emergency Bill,http://lims.dccouncil.us/Download/37486/B22-0132-Introduction.pdf,2017-03-15,Under Mayoral Review,Modifications to Contract No. CW40436 Approval and Payment Authorization Emergency Act of 2017,Bill,37486,,Retained by the Council,,,2017-02-17
,,22,B22-0163,Emergency Bill,http://lims.dccouncil.us/Download/37585/B22-0163-Introduction.pdf,2017-03-15,Under Mayoral Review,Interior Design Regulation Emergency Amendment Act of 2017,Bill,37585,,Retained by the Council,,,2017-03-07
,,22,B22-0162,Emergency Bill,http://lims.dccouncil.us/Download/37583/B22-0162-Introduction.pdf,2017-03-15,Under Mayoral Review,Advisory Neighborhood Commission Transfer Authorization Emergency Act of 2017,Bill,37583,,Retained by the Council,,,2017-03-07
,,22,B22-0146,Emergency Bill,http://lims.dccouncil.us/Download/37538/B22-0146-Introduction.pdf,2017-03-15,Under Mayoral Review,United Way Fiscal Agency Grant Agreement Authorization Emergency Act of 2017,Bill,37538,,Retained by the Council,,,2017-03-01
,,22,B22-0145,Emergency Bill,http://lims.dccouncil.us/Download/37536/B22-0145-Introduction.pdf,2017-03-15,Under Mayoral Review,CYITC Surplus Funds MOU Authorization Emergency Act of 2017,Bill,37536,,Retained by the Council,,,2017-03-01
,,22,B22-0141,Emergency Bill,http://lims.dccouncil.us/Download/37529/B22-0141-Introduction.pdf,2017-03-15,Under Mayoral Review,Land Disposition Transparency Emergency Amendment Act of 2017,Bill,37529,,Retained by the Council,,,2017-03-01
,,22,PR22-0165,Proposed Resolution,http://lims.dccouncil.us/Download/37588/PR22-0165-Introduction.pdf,2017-03-15,Under Council Review,Sense of the Council in Support of a Metropolitan Police Department Religious Minorities Liaison Unit Resolution of 2017,Resolution,37588,,Committee on Judiciary and Public Safety,,,2017-03-07
,2017-05-01,22,PR22-0157,Proposed Resolution,http://lims.dccouncil.us/Download/37541/PR22-0157-Introduction.pdf,2017-03-15,Under Council Review,Board of Nursing Nancy Uhland Confirmation Resolution of 2017,Resolution,37541,,Committee on Health,,Approved,2017-03-02
,2017-05-01,22,PR22-0153,Proposed Resolution,http://lims.dccouncil.us/Download/37531/PR22-0153-Introduction.pdf,2017-03-15,Under Council Review,Board of Physical Therapy Joel Hemphill Confirmation Resolution of 2017,Resolution,37531,,Committee on Health,,Approved,2017-03-01
,,22,B22-0182,Permanent Bill,http://lims.dccouncil.us/Download/37605/B22-0182-Introduction.pdf,2017-03-15,Under Council Review,Vacant and Abandoned Residential Property Foreclosure Amendment Act of 2017,Bill,37605,,Committee on Housing and Neighborhood Revitalization  and Committee of the Whole,,,2017-03-07
,,22,B22-0181,Permanent Bill,http://lims.dccouncil.us/Download/37604/B22-0181-Introduction.pdf,2017-03-15,Under Council Review,The Proper Planning for Future Growth Amendment Act of 2017,Bill,37604,,Committee on Transportation and the Environment and Committee of the Whole,,,2017-03-07
,,22,B22-0180,Permanent Bill,http://lims.dccouncil.us/Download/37603/B22-0180-Introduction.pdf,2017-03-15,Under Council Review,Family Unit Amendment Act of 2017,Bill,37603,,Committee on Business and Economic Development,,,2017-03-07
,,22,B22-0179,Permanent Bill,http://lims.dccouncil.us/Download/37602/B22-0179-Introduction.pdf,2017-03-15,Under Council Review,D.C. Public Schools Alternatives to Suspension Amendment Act of 2017,Bill,37602,,Committee on Education,,,2017-03-07
,,22,B22-0177,Permanent Bill,http://lims.dccouncil.us/Download/37600/B22-0177-Introduction.pdf,2017-03-15,Under Council Review,Interstate Medical Licensure Compact Approval Act of 2017,Bill,37600,,Committee on Health and Committee of the Whole,,,2017-03-07
,,22,B22-0176,Permanent Bill,http://lims.dccouncil.us/Download/37599/B22-0176-Introduction.pdf,2017-03-15,Under Council Review,Health Care Revolving Fund Act of 2017,Bill,37599,,Committee on Health,,,2017-03-07
,,22,B22-0175,Permanent Bill,http://lims.dccouncil.us/Download/37598/B22-0175-Introduction.pdf,2017-03-15,Under Council Review,Transportation Benefits Equity Amendment Act of 2017,Bill,37598,,Committee on Transportation and the Environment,,,2017-03-07
,,22,B22-0174,Permanent Bill,http://lims.dccouncil.us/Download/37597/B22-0174-Introduction.pdf,2017-03-15,Under Council Review,Health Insurance Coverage for Autism and Other Special Needs Amendment Act of 2017,Bill,37597,,Committee on Business and Economic Development,,,2017-03-07
,,22,B22-0173,Permanent Bill,http://lims.dccouncil.us/Download/37596/B22-0173-Introduction.pdf,2017-03-15,Under Council Review,District of Columbia Statehood Advocacy Act of 2017,Bill,37596,,Committee of the Whole,,,2017-03-07
,,22,B22-0172,Permanent Bill,http://lims.dccouncil.us/Download/37595/B22-0172-Introduction.pdf,2017-03-15,Under Council Review,Maternal Mental Health Task Force Act of 2017,Bill,37595,,Committee on Health,,,2017-03-07
,,22,B22-0170,Permanent Bill,http://lims.dccouncil.us/Download/37593/B22-0170-Introduction.pdf,2017-03-15,Under Council Review,At-Risk Tenant Protection Clarifying Amendment Act of 2017,Bill,37593,,Committee on Judiciary and Public Safety,,,2017-03-07
,,22,B22-0169,Permanent Bill,http://lims.dccouncil.us/Download/37592/B22-0169-Introduction.pdf,2017-03-15,Under Council Review,Electronic Signature Authorization Act of 2017,Bill,37592,,Committee on Judiciary and Public Safety,,,2017-03-07
,,22,B22-0167,Permanent Bill,http://lims.dccouncil.us/Download/37590/B22-0167-Introduction.pdf,2017-03-15,Under Council Review,Academic Credential Fraud Amendment Act of 2017,Bill,37590,,Committee on Judiciary and Public Safety,,,2017-03-07
,,22,B22-0166,Permanent Bill,http://lims.dccouncil.us/Download/37589/B22-0166-Introduction.pdf,2017-03-15,Under Council Review,False Claims Amendment Act of 2017,Bill,37589,,Committee of the Whole,,,2017-03-07
,,22,B22-0165,Permanent Bill,http://lims.dccouncil.us/Download/37587/B22-0165-Introduction.pdf,2017-03-15,Under Council Review,The Grant Administration Amendment Act of 2017,Bill,37587,,Committee on Government Operations,,,2017-03-07
,,22,B22-0161,Permanent Bill,http://lims.dccouncil.us/Download/37581/B22-0161-Introduction.pdf,2017-03-15,Under Council Review,Medical Marijuana Certified Business Enterprise Preference Amendment Act of 2017,Bill,37581,,Committee on Business and Economic Development,,,2017-02-21
,,22,B22-0160,Permanent Bill,http://lims.dccouncil.us/Download/37580/B22-0160-Introduction.pdf,2017-03-15,Under Council Review,Digital Literacy Council Establishment Act of 2017,Bill,37580,,Committee on Government Operations,,,2017-02-21
,,22,B22-0159,Permanent Bill,http://lims.dccouncil.us/Download/37579/B22-0159-Introduction.pdf,2017-03-15,Under Council Review,Adult Learners Transit Subsidy Amendment Act of 2017,Bill,37579,,Committee on Transportation and the Environment,,,2017-02-21
,,22,B22-0158,Permanent Bill,http://lims.dccouncil.us/Download/37578/B22-0158-Introduction.pdf,2017-03-15,Under Council Review,Nurse Safe Staffing Act of 2017,Bill,37578,,Committee on Health,,,2017-02-21
,,22,B22-0154,Permanent Bill,http://lims.dccouncil.us/Download/37567/B22-0154-Introduction.pdf,2017-03-15,Under Council Review,Citizens with Intellectual Disabilities Civil Rights Restoration Act of 2017,Bill,37567,,Committee on Human Services,,,2017-03-03
,,22,B22-0153,Permanent Bill,http://lims.dccouncil.us/Download/37562/B22-0153-Introduction.pdf,2017-03-15,Under Council Review,Hardy School Disposition and Lease Agreement Act of 2017,Bill,37562,,Committee on Business and Economic Development,,,2017-03-03
,,22,B22-0148,Permanent Bill,http://lims.dccouncil.us/Download/37540/B22-0148-Introduction.pdf,2017-03-15,Under Council Review,Jackson School Lease Renewal Authorization Act of 2017,Bill,37540,,Committee on Business and Economic Development,,,2017-03-02
,,22,B22-0147,Permanent Bill,http://lims.dccouncil.us/Download/37539/B22-0147-Introduction.pdf,2017-03-15,Under Council Review,Africare Real Property Tax Relief Act of 2017,Bill,37539,,Committee on Finance and Revenue,,,2017-03-02
,,22,B22-0144,Permanent Bill,http://lims.dccouncil.us/Download/37534/B22-0144-Introduction.pdf,2017-03-15,Under Council Review,Martha Tabor Alley Designation Act of 2017,Bill,37534,,Committee of the Whole,,,2017-03-01
,,22,B22-0157,Congressional Review Emergency Bill,http://lims.dccouncil.us/Download/37577/B22-0157-Introduction.pdf,2017-03-15,Under Mayoral Review,Stun Gun Regulation Congressional Review Emergency Amendment Act of 2017,Bill,37577,,Retained by the Council,,,2017-03-06
,,22,B22-0155,Congressional Review Emergency Bill,http://lims.dccouncil.us/Download/37573/B22-0155-Introduction.pdf,2017-03-15,Under Mayoral Review,Campaign Finance Reform and Transparency Congressional Review Emergency Amendment Act of 2017,Bill,37573,,Retained by the Council,,,2017-03-06
,,22,B22-0143,Emergency Bill,http://lims.dccouncil.us/Download/37533/B22-0143-Introduction.pdf,2017-03-15,Under Mayoral Review,"Modifications to Contract No. CW3646l with SB & Company, LLC Approval and Payment Authorization Emergency Act of 2017",Bill,37533,,Retained by the Council,,,2017-03-01
,,22,B22-0137,Congressional Review Emergency Bill,http://lims.dccouncil.us/Download/37518/B22-0137-Introduction.pdf,2017-03-15,Under Mayoral Review,Wage Theft Prevention Clarification and Overtime Fairness Congressional Review Emergency Amendment Act of 2017,Bill,37518,,Retained by the Council,,,2017-03-01
,,22,B22-0135,Emergency Bill,http://lims.dccouncil.us/Download/37500/B22-0135-Introduction.pdf,2017-03-15,Under Mayoral Review,Modifications to Contract No. DCJM-2014-H-0006-10 with RCM of Washington Inc. Approval and Payment Authorization Emergency Act of 2017,Bill,37500,,Retained by the Council,,,2017-02-23
